heading,link,price,rating,reviews
Red Lemon Swiss Design 40 L Oxford Waterproof Large Capacity Comfortable Business Fashion Travel Men Laptop Backpack Anti theft Computer Bag with rain cover,https://www.amazon.in/Red-Lemon-Waterproof-Capacity-Comfortable/dp/B0C53MVJ2C,"1,599",3.3 out of 5 stars,451
DARK HORSE Laptop Bag Leather Briefcase 15.6 Inch Messenger Bag Satchel for Men Padded Laptop Compartment 12 Liters  Water Resistant Shoulder Bag with Strap Durable Office Bag for Laptop,https://www.amazon.in/DARK-HORSE-Briefcase-Messenger-Compartment/dp/B0BJZF92F6,799,4.0 out of 5 stars,153
PALAY® Tote Bags For Women Bag Corduroy Large Capacity Reusable Shopping Bag Washable Shoulder Bags HandBags for School Work Shopping Travel Daily Use Grocery,https://www.amazon.in/Corduroy-Reusable-Shopping-Washable-Shoulder/dp/B0BNX437F8,488,4.3 out of 5 stars,102
Genie Swirl Laptop Backpack for Women 3 compartments Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch). Tie-dye print,https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YCDR7,899,3.9 out of 5 stars,17
Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags Small - 30 bags/roll (Pack of 3 Green For Wet Waste),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCGCPK,189,4.3 out of 5 stars,638
Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO,595,4.1 out of 5 stars,"1,293"
American Tourister Harp Duffle Bag 52 CM Grey,https://www.amazon.in/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1,"1,099",4.0 out of 5 stars,36
"AirCase Office Sling Messenger Bag fits upto 14.1"" Laptop/Macbook Detachable Shoulder Strap Waterproof Shockproof Carry Handle with Spacious Pockets For Men & Women Blue",https://www.amazon.in/AirCase-C24-Messenger-Shoulder-Compartments/dp/B07Y3DB5YZ,729,4.0 out of 5 stars,"1,750"
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),https://www.amazon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP,257,4.1 out of 5 stars,"2,560"
FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School College and Office with USB Charging Port,https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,429,3.9 out of 5 stars,"10,507"
Storite Stylish Small PU Leather Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men Women (25.5 x7x20cm),https://www.amazon.in/Storite-Sling-Bag-Shoulder-25-5cmx7cmx20cm/dp/B09P3RQPCG,749,4.0 out of 5 stars,285
Amazon Basics Camera Bag with Tripod Holder for Beginner and Professional Photographers Waterproof Cover Lightweight Removable Dividers for All DSLR/SLR Cameras and Accessories,https://www.amazon.in/Professional-Photographers-Waterproof-Lightweight-Accessories/dp/B0C58VVFQT,949,4.3 out of 5 stars,997
ANTIL'S® Hot Water Rubber Bottle bag for Pain Relief Therapy (Pack of 1) Multicolor,https://www.amazon.in/ANTILS%C2%AE-Water-Rubber-Relief-Therapy/dp/B08PFTYB2N,198,4.0 out of 5 stars,"4,526"
AUXTER DELUXE Casual School College office Travel Backpack - 18 Design,https://www.amazon.in/AUXTER-DELUXE-Casual-Backpack-Black/dp/B09HNP99YX,791,4.0 out of 5 stars,650
Zebronics Camp1 14 Liters 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black),https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,398,3.6 out of 5 stars,31
SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag College & School Students Bookbag With Raincover,https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Mahogany-Brown/dp/B0C3RN6QSC,829,3.9 out of 5 stars,247
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),https://www.amazon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP,257,4.1 out of 5 stars,"2,560"
American Tourister Harp Duffle Bag 52 CM Grey,https://www.amazon.in/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1,"1,099",4.0 out of 5 stars,36
FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School College and Office with USB Charging Port,https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,429,3.9 out of 5 stars,"10,507"
Amazon Basics Camera Bag with Tripod Holder for Beginner and Professional Photographers Waterproof Cover Lightweight Removable Dividers for All DSLR/SLR Cameras and Accessories,https://www.amazon.in/Professional-Photographers-Waterproof-Lightweight-Accessories/dp/B0C58VVFQT,949,4.3 out of 5 stars,997
ANTIL'S® Hot Water Rubber Bottle bag for Pain Relief Therapy (Pack of 1) Multicolor,https://www.amazon.in/ANTILS%C2%AE-Water-Rubber-Relief-Therapy/dp/B08PFTYB2N,198,4.0 out of 5 stars,"4,526"
Zebronics Camp1 14 Liters 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black),https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,398,3.6 out of 5 stars,31
AUXTER DELUXE Casual School College office Travel Backpack - 18 Design,https://www.amazon.in/AUXTER-DELUXE-Casual-Backpack-Black/dp/B09HNP99YX,791,4.0 out of 5 stars,650
SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag College & School Students Bookbag With Raincover,https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Mahogany-Brown/dp/B0C3RN6QSC,829,3.9 out of 5 stars,247
Kleeno by cello OXO - Biodegradable Garbage Bags Medium Size 48 cm x 53 cm 2 Pouch 30 Bags Dustbin Bag/Trash Bag,https://www.amazon.in/Kleeno-Cello-Clean-Garbage-Medium/dp/B09C284CTH,84,4.0 out of 5 stars,2
TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptopofficecollegetravel bag for men and women (WIZ),https://www.amazon.in/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R,499,3.9 out of 5 stars,10
Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L (6 Month Warranty),https://www.amazon.in/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,539,4.3 out of 5 stars,208
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,"2,299",4.5 out of 5 stars,"7,744"
PUMA Casual Backpack IND II Black-CASTLEROCK,https://www.amazon.in/PUMA-Casual-Backpack-IND-Black-CASTLEROCK/dp/B08BTD8YZP,"1,019",4.1 out of 5 stars,279
"POLESTAR Noble 32 L Bag for College School Office Casual Multipurpose Backpack with 15.6"" Laptop Compartment Water Resistant Unisex Design Stylish & Durable 1 Year Warranty",https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B,579,3.9 out of 5 stars,"17,859"
Amazon Basics Classic Camera Shoulder Bag Adjustable Strap Waterproof material Breathable Mesh Anti-Shock Compatible with Nikon Canon and Sony Mirrorless Cameras,https://www.amazon.in/Adjustable-Waterproof-Breathable-Anti-Shock-Compatible/dp/B0C58X3CRX,549,3.6 out of 5 stars,6
Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green30 Bags/Rollx3(18.5 X 20.5 Inch),https://www.amazon.in/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN,99,4.8 out of 5 stars,150
Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green30 Bags/Rollx3(18.5 X 20.5 Inch),https://www.amazon.in/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN,99,4.8 out of 5 stars,150
Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black 32 L),https://www.amazon.in/Artistix-Unisex-Travel-Backpack-Repellent/dp/B09B5DMGM1,"1,989",4.5 out of 5 stars,"1,037"
AUXTER DELUXE Casual School College office Travel Backpack - 18 Design,https://www.amazon.in/AUXTER-DELUXE-Casual-Backpack-Black/dp/B09HNP99YX,791,4.0 out of 5 stars,650
Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Black),https://www.amazon.in/Gear-DOUBLE-DECKER-Resistant-Backpack/dp/B0BTJ3WTMV,"1,089",3.9 out of 5 stars,46
Glowic Canvas Grocery Travel Beach | Shoulder Handbags Women College Bags for Girls Stylish Trendy(WBAG-83) (Cream),https://www.amazon.in/Glowic-Grocery-Shoulder-Handbags-College/dp/B0CGK13VC7,619.,3.4 out of 5 stars,36
Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook,https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6,349,4.0 out of 5 stars,176
PUMA Casual Backpack IND II Black-CASTLEROCK,https://www.amazon.in/PUMA-Casual-Backpack-IND-Black-CASTLEROCK/dp/B08BTD8YZP,"1,019",4.1 out of 5 stars,279
Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook With Raincover Inside Organiser and 1 Year Warranty (All),https://www.amazon.in/Lunars-Router-Resistant-Raincover-Organiser/dp/B08YR63B9M,849,3.8 out of 5 stars,"1,163"
Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),https://www.amazon.in/Handcuffs-Multifunctional-Maternity-Backpack-Nursing/dp/B09413KB4K,"1,186",4.2 out of 5 stars,556
SECUREMENT® Tamper Proof Courier Bags with Pod Jacket documen pouch 10x 14 (100 Pcs),https://www.amazon.in/Paarsv-Tamper-Courier-Without-Jacket/dp/B018E1O6LU,325,4.1 out of 5 stars,314
DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),https://www.amazon.in/DAHSHA-Bag-Business-Messenger-Shoulder/dp/B07GCLJTZF,695,3.8 out of 5 stars,476
DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey 25 x 10 x 20 CM),https://www.amazon.in/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV,545,4.0 out of 5 stars,860
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWKDG6R,320,3.8 out of 5 stars,"1,858"
"AirCase Premium Laptop Bag with 6 Pockets fits Upto 15.6"" Laptop/MacBook Wrinkle Free Padded Waterproof Light Neoprene case Cover Sleeve Pouch for Men & WomenAsh- 6 Months Warranty",https://www.amazon.in/AirCase-Premium-Waterproof-Neoprene-Warranty/dp/B07JBBKD5S,598,4.4 out of 5 stars,"4,268"
Newtone Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Newtone-Premium-OXO-Biodegradable-Garbage/dp/B08M66SG5Y,144,4.3 out of 5 stars,212
URBAN CARRIER Large 45 Liters Medium Backpack for school and colleges laptop bag luggage bag travel bag Unisex office bag for men Waterproof School Bag for girls stylish backpack for men,https://www.amazon.in/Backpack-Colleges-Luggage-Waterproof-Multicolor/dp/B09GYJ17JL,549,3.9 out of 5 stars,652
PALAY® Tote Bag Corduroy Solid Color Hand Bag for Women Shoulder Bag for Shopping Commuting Shopping Bag Large Grocery Bag,https://www.amazon.in/Corduroy-Capacity-HandBags-Shoulder-Shopping/dp/B0BZYXT8Q7,499,4.5 out of 5 stars,8
Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),https://www.amazon.in/Handcuffs-Multifunctional-Maternity-Backpack-Nursing/dp/B09413KB4K,"1,186",4.2 out of 5 stars,556
The Purple Tree Canvas Stylish Printed Tote Bag For Women (Pack Of 1) Tbag00270,https://www.amazon.in/Purple-Tree-Canvas-Tote-Women/dp/B07PLCCQVC,349,4.2 out of 5 stars,164
SECUREMENT® Tamper Proof Courier Bags with Pod Jacket documen pouch 10x 14 (100 Pcs),https://www.amazon.in/Paarsv-Tamper-Courier-Without-Jacket/dp/B018E1O6LU,325,4.1 out of 5 stars,314
Red Lemon BANGE Waterproof TPU Unisex Travel Crossbody Sling Bag Chest Pack with USB charging,https://www.amazon.in/Red-Lemon-Waterproof-Crossbody-charging/dp/B0B12WH5ND,"1,797",4.4 out of 5 stars,74
DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey 25 x 10 x 20 CM),https://www.amazon.in/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV,545,4.0 out of 5 stars,860
"AirCase Premium Laptop Bag with 6 Pockets fits Upto 15.6"" Laptop/MacBook Wrinkle Free Padded Waterproof Light Neoprene case Cover Sleeve Pouch for Men & WomenAsh- 6 Months Warranty",https://www.amazon.in/AirCase-Premium-Waterproof-Neoprene-Warranty/dp/B07JBBKD5S,598,4.4 out of 5 stars,"4,268"
Newtone Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Newtone-Premium-OXO-Biodegradable-Garbage/dp/B08M66SG5Y,144,4.3 out of 5 stars,212
"MOKOBARA The Briefcase - 15.6"" Blue Laptop Messenger Bag for Men & Women",https://www.amazon.in/Mokobara-Briefcase-Resistant-Compartment-Messenger/dp/B0B6CTQDR8,"5,199",4.4 out of 5 stars,348
Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments Water Resistant Fabric - Blue (SNAP19CBBLU),https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27GN41,899,3.8 out of 5 stars,624
Nivia String Bag Polyester Made for Men Waterproof/Drawstring Backpack (Black),https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM,156,4.1 out of 5 stars,"1,980"
"POLESTAR Bold 42 L Bag for College School Office Casual Multipurpose Backpack with 15.6"" Laptop Compartment Water Resistant Unisex Design Stylish & Durable 1 Year Warranty",https://www.amazon.in/POLESTAR-Backpack-Compartment-Polyester-Warranty/dp/B0BMQ2HXYP,729,3.8 out of 5 stars,"2,001"
F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),https://www.amazon.in/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,"1,155",4.0 out of 5 stars,856
